Country,Simple Paragraph 1,Simple Paragraph 2,Country Profile Text
Hungary,none,none,"<p>In 2019, Hungary adopted a new <a href=""https://nefe.kormany.hu/download/7/3f/92000/NEFE2025_summary_en.pdf"">international development cooperation strategy</a> covering the period 2020–2025. Hungary sees international development as an opportunity to ‘contribute effectively to the SDGs and promote Hungarian foreign policy and economic interests’. <a href=""https://www.oecd-ilibrary.org/sites/a80b014d-en/index.html?itemId=/content/component/a80b014d-en"">Priority areas</a> are: 1) establishing long-lasting, mutually beneficial economic partnerships; and 2) addressing the root causes of migration. Hungary has had a regional focus on Central and Eastern Europe, but aims to expand this to sub-Saharan Africa and the Middle East.</p>
<p>Hungary has not published an update to its strategy in response to Covid-19, but has <a href=""https://reliefweb.int/report/world/covid-19-hungary-continuing-help-countries-need"">confirmed its commitment</a> to supporting regional partners.</p>
<p>Hungary ranks 27th on the Principled Aid Index, third from last. It acceded to the DAC in 2016, and took last place in the Index in that year and in 2017, so this marks its first ranking rise. Nonetheless, Hungary ranks in the bottom five donors on all three dimensions. Its best ranking is in the global cooperation dimension, where it is 24th. Hungary provides comparatively high levels of funding for climate change mitigation and adaptation, ranking 14th on this dimension. It has also increased its spending on communicable diseases, rising by seven ranks on this indicator since 2017, from 26th to 19th.</p>
<p>Hungary ranks 28th on the development gaps dimension, with low scores in all indicators, with the exception of spending on displaced populations, where it ranks 5th.</p>
<p>Hungary ranks 27th in the public spiritedness dimension, with low scores on all indicators in this dimension.</p>"
Iceland,none,none,"<p><a href=""https://www.government.is/library/01-Ministries/Ministry-for-Foreign-Affairs/Iceida/Publications/Parliamentary Resolution on Iceland%e2%80%99s policy for international development cooperation.pdf"">International development cooperation</a> is regarded as ‘one of the pillars of Iceland’s foreign policy and an important part of Iceland’s National Security Policy’. The updated <a href=""https://www.government.is/library/01-Ministries/Ministry-for-Foreign-Affairs/Iceida/Publications/Parliamentary Resolution on Iceland%e2%80%99s policy for international development cooperation.pdf"">Development Cooperation Act</a> (2015) abolished the Icelandic International Development Agency in order to bring multiple different parties (ministries, businesses and civil society) into foreign aid collaboration. In Icelands’s policy for international development cooperation 2019–2023, poverty, human rights, gender equality and peace and security are highlighted as key objectives, alongside specific activities (for example geothermal energy and fisheries) that draw on Iceland’s expertise in these areas.</p>
<p>Iceland has not released an update to its international development strategy in light of Covid-19, but has <a href=""https://www.government.is/news/article/2020/05/08/276-million-ISK-in-response-to-COVID-19-in-developing-countries/"">contributed towards multilateral efforts</a>.</p>
<p>Iceland ranks 12th on the Principled Aid Index. It came 2nd every year between 2013 and 2015, but since the abolition of the International Development Agency in 2015 its ranking has dropped 10 places. Despite this, Iceland continues to perform well on the development gaps dimension, coming 2nd. Iceland has never been outside of the top five donors on development gaps, reflecting its policy focus on poverty. It performs particularly well on targeting social protection spending towards the most severely financially challenged recipients.</p>
<p>Iceland scores poorly on the global cooperation dimension, coming 23rd. This is driven by low spending on climate change and communicable diseases. Iceland’s rank for spending on climate change has dropped from 3rd (2013) to 24th.</p>
<p>Iceland’s ranking in the public spiritedness dimension has also fallen, from 3rd (2017) to 10th. This is driven by an increase in Iceland’s level of tied aid. Iceland has fallen from 2nd on the tied aid indicator (2017) to 26th; 91% of Iceland’s aid was tied or partially tied in 2018, compared to none in previous years.</p>"

Ireland,none,none,"<p>In July 2018, the Irish government published a new <a href=""https://www.irishaid.ie/media/irishaid/aboutus/abetterworldirelandspolicyforinternationaldevelopment/A-Better-World-Irelands-Policy-for-International-Development.pdf"">policy for international development</a>, <em>A Better World</em>. The policy has a strong focus on supporting the multilateral system and those most in need. It identifies Ireland’s key areas of focus as: a) prioritising gender equality; b) reducing humanitarian need; c) climate action; and d) strengthening governance. This new policy forms part of Ireland’s broader foreign policy, <em>Global Ireland 2025</em>, which aims to double the scope and impact of the country’s global footprint in the period to 2025. Unlike most other donors that score well on the Principled Aid Index, Ireland provides low quantities of aid. However, <a href=""https://www.irishaid.ie/media/irishaid/aboutus/abetterworldirelandspolicyforinternationaldevelopment/A-Better-World-Irelands-Policy-for-International-Development.pdf"">aid levels have increased</a> since 2014, and there are plans to reach the 0.7% of GNI target by 2030.</p>
<p>Ireland has emphasised themes of global connectivity in its <a href=""https://www.dfa.ie/news-and-media/speeches/speeches-archive/2020/april/ireland-supports-international-covid-19-response.php"">international development response to Covid-19</a>, with the <a href=""https://www.irishaid.ie/news-publications/news/newsarchive/2020/july/colm-brophy-td-appointed-as-minister-for-overseas-development-aid-and-diaspora.html"">Minister for Overseas Development Aid and Diaspora</a> stressing that ‘Covid-19 reminds us of how our safety and development at home is linked to the safety and development of others abroad, and I want to work as Minister to ensure that Ireland plays a full role in the global response to the pandemic’. <a href=""https://www.dfa.ie/news-and-media/press-releases/press-release-archive/2020/august/irish-support-for-global-responses-to-covid-19-reaches-123-million.php"">Irish Aid has committed €123 million</a> to the international response to the pandemic as of August 2020, through bilateral and multilateral channels.</p>
<p>Ireland scores very well on the Principled Aid Index, coming first in every year. Even so, its raw score decreased by more than the average donor since 2017. This is mainly driven by a fall in its score on the public spiritedness dimension, where it declined on every indicator. However, Ireland still took first place on this dimension, with a particularly good score for spending in recipient countries.</p>
<p>Ireland also takes first place on the development gaps dimension. It comes in the top three donors for every indicator in this dimension, except for targeting gender inequality. On gender inequality, Ireland rose from 16th in 2013 to 1st in 2017, as this is a key <a href=""https://www.irishaid.ie/media/irishaid/aboutus/abetterworldirelandspolicyforinternationaldevelopment/A-Better-World-Irelands-Policy-for-International-Development.pdf"">priority area for Irish Aid</a>. However, Ireland’s rank on this indicator has now dropped back down to 7th.</p>
<p>Ireland’s high ranks in the development gaps and public spiritedness dimensions contrast with a relatively low ranking in global cooperation; Ireland is 15th on this dimension. This is driven by low scores on funding aid-for-trade and climate mitigation and adaptation. However, Ireland has improved by two ranks overall on this dimension. This improvement is driven by an increase in spending on global peace and security and core support for the multilateral system.</p>"
Italy,none,none,"<p>International cooperation is ‘<a href=""https://www.esteri.it/mae/it/cooperaz_sviluppo/la-riforma-della-cooperazione.html"">an integral and qualifying part of foreign policy</a>’ for Italy. In July 2020, the Italian Agency for Development Cooperation (AICS) released its <a href=""http://www.senato.it/service/PDF/PDFServer/BGT/01157152.pdf"">strategy for the three-year period 2019–2020</a>. This strategy is <a href=""https://donortracker.org/country/italy"">anchored in the SDGs</a> and mitigating the root causes of migration and displacement. Italy has not released a strategy for its international development in relation to Covid-19.</p>
<p>Italy ranks 18th on the Principled Aid Index, a rise of two places since 2017 and its best-ever position. Its highest score is in the public spiritedness dimension, where it ranks 12th. This score is driven by Italy having little tied aid, ranking 2nd on this indicator.</p>
<p>By contrast, Italy ranks 21st in the global cooperation dimension. It has low scores across this dimension, but ranks particularly badly on the indicator for aid-for-trade.</p>
<p>On the development gaps dimension Italy is in 15th place, a rise of five places since 2017. This is driven by an improvement in all indicators in this dimension, but Italy has particularly improved its spending on internationally displaced persons.</p>"
Japan,none,none,"<p>Japan’s development policy is founded in its <em><a href=""https://www.mofa.go.jp/files/000406629.pdf"">Development Cooperation Charter</a></em>, passed in 2015. The charter is ‘based on the principle of international cooperation’ and promotes ‘securing the national interests of Japan’ by using ODA ‘strategically and effectively as one of the most important foreign policy tools’. Japan <a href=""https://donortracker.org/country/japan"">prioritises self-reliant development</a>, the promotion of economic growth and public–private partnerships, using official development assistance to engage Japanese companies in emerging markets. Japan has historically focused on bilateral ODA, although its <a href=""https://www.mofa.go.jp/files/000259285.pdf"">contributions to multilaterals have increased</a>, and are set to grow further.</p>
<p>In its <a href=""https://www.jica.go.jp/COVID-19/en/responses/research/adtkbc00000005xc-att/JICA_COVID19.pdf"">international development response to Covid-19</a>, Japan has reiterated its emphasis on self-reliant development. The response of Japan’s International Cooperation Agency recognises ‘the ownership that each country is demonstrating in its own way’. It aims to meet the urgent needs of low- and middle-income countries, promote universal healthcare and establish a ‘new world’ that confronts the challenges of modern society.</p>
<p>Japan ranks 9th on the Principled Aid Index, its highest-ever position. It scores well on the global cooperation dimension, ranking 7th across all donors, having risen eight places since 2013. This score is driven by the high share of ODA that it allocates to trade facilitation, a key priority for Japanese aid.</p>
<p>Japan also scores fairly well on the public spiritedness dimension, coming 11th. This is driven by a strong performance on spending aid in recipient countries, but is also hampered by a strong correlation between aid disbursements and beneficiaries agreeing with Japan’s position in UN votes.</p>
<p>Japan scores less well on the development gaps dimension, coming 19th. Its ranking on the development gaps dimension has fallen by six places since 2013. This is partially driven by a poor record on assisting conflict-affected states, as well as declining performance on targeting social safety net spending to the most severely financially challenged recipients.</p>"
Korea,none,none,"<p>The Republic of Korea identifies poverty reduction and humanitarian assistance as the <a href=""https://read.oecd-ilibrary.org/development/oecd-development-co-operation-peer-reviews-korea-2018_9789264288829-en#page40"">core motivations</a> for its development assistance. The country’s approach has been characterised by an emphasis on partner country requests and a focus on countries most in need – though inconsistently at times. Its <em><a href=""http://www.koica.go.kr/sites/koica_en/download/%EB%B6%84%EC%95%BC%EB%B3%84%EC%A4%91%EA%B8%B0%EC%A0%84%EB%9E%B5 %EC%98%81%EB%AC%B8%EB%B8%8C%EB%A1%9C%EC%85%94.pdf"">Strategic Plan for International Development Cooperation</a></em> prioritises increased development assistance to economic infrastructure and environmental policy issues, alignment with the Sustainable Development Goals, funding girls’ health and education and agricultural development.</p>
<p>The Republic of Korea’s <a href=""http://www.koica.go.kr/covid19/8017/subview.do"">response to Covid-19</a> has stressed global interconnectivity, arguing that the ‘situation highlights [the] hyper-connectivity of the globe and teaches us how important it is to take care of each other for our own safety’. The Committee for International Development Cooperation has proposed an ODA increase of KRW4.1 trillion ($3.7 billion) for 2021 to enable more funding for health and humanitarian assistance, as part of its ‘COVID-19 Response ODA Strategy’.</p>
<p>The Republic of Korea ranks 16th on the Principled Aid Index. Its ranking has stayed almost constant over the last five years. The country scores very well on global cooperation, ranking 4th on this dimension. This is driven by high spending on aid-for-trade policies, climate funding and core support for the multilateral system. The Republic of Korea has risen 12 places on this dimension since 2013, driven by an increase in spending on peace and security.</p>
<p>The Republic of Korea’s record is much worse on the public spiritedness dimension, where it ranks 20th overall. It has low scores in every indicator within this dimension, with the exception of spending in recipient countries, where it ranks third.</p>
<p>On the development gaps dimension the Republic of Korea ranks 10th, with a good performance on targeting aid towards the poorest. However, its score on this dimension is dragged down by low spending on conflict-affected states, as well as a lack of targeting of spending on social protection towards the most severely financially challenged recipients.</p>"
Luxembourg,none,none,"<p>Luxembourg’s <a href=""https://cooperation.gouvernement.lu/en/publications/strategie/strategie-generale-2030.html"">development strategy</a> states that its ‘commitment to development cooperation is driven by global solidarity and guided by its values and interests’. It considers development cooperation as a key pillar of its foreign policy, though its development programme is strongly oriented towards the poorest and most vulnerable. Its policy states that ‘the main objective of Luxembourg’s development cooperation is to contribute to the eradication of extreme poverty and the promotion of economic, social and environmental sustainability’. Luxembourg has not released an update to its development cooperation strategy in light of Covid-19.</p>
<p>Luxembourg is 5th on the Principled Aid Index, an increase of one rank since 2017. It is consistently in the top three donors in the public spiritedness dimension. This is motivated by strong scores in minimising tied aid and aid that influences elections.</p>
<p>Luxembourg is also consistently in the top ten donors on the development gaps dimension, coming 8th. This is driven by aid targeting the poorest and most severely financially challenged countries, reflecting Luxembourg’s commitment to poverty reduction.</p>
<p>Luxembourg ranks worse on the global cooperation dimension, where it has never been in the top half of donors. This is partially driven by a comparatively low share of aid dedicated to climate change mitigation and adaptation. However, its ranking in this dimension has improved, from 20th (2013) to 16th.</p>"
Netherlands,none,none,"<p>Levels of Dutch ODA have declined sharply since 2010. Its 2013 <a href=""https://www.government.nl/binaries/government/documents/letters/2013/04/05/global-dividends-a-new-agenda-for-aid-trade-and-investment/a-world-to-gain-en.pdf"">policy statement</a>, <em>A World to Gain</em>, promotes a ‘new approach’ focused on trade and investment. A new government, in office since October 2017, has committed to increasing ODA to compensate for cuts made by the previous administration. Development cooperation is set to focus on <a href=""https://donortracker.org/country/netherlands"">four objectives</a>: preventing conflict and instability; reducing poverty and social inequality; promoting sustainable and inclusive growth and climate action worldwide; and promoting the economic growth of the Netherlands. The Netherlands has not released an international development strategy response to Covid-19.</p>
<p>The Netherlands ranks 11th on the Principled Aid Index. Its strongest performance is on the global cooperation dimension, where it is 5th, coming in the top 10 donors for every indicator within this dimension.</p>
<p>The Netherlands comes 14th in the public spiritedness dimension, partially driven by aid disbursements that are unrelated to beneficiaries agreeing with the country’s position in UN votes.</p>
<p>Finally, the Netherlands ranks 16th in the development gaps dimension. It scores particularly well on aid targeting gender inequality, in line with its <a href=""https://donortracker.org/country/netherlands"">strategy in this area</a>, but it is in the bottom half of donors for all other indicators within this dimension.</p>"
New Zealand,none,none,"<p>New Zealand’s new <a href=""https://www.mfat.govt.nz/en/aid-and-development/our-approach-to-aid/"">policy for international cooperation</a> was approved in November 2019. This policy strengthens New Zealand’s focus on the Pacific region (in line with the ‘Pacific Reset’ policy), in order to target aid to ‘developing countries where New Zealand has a strategic interest’. The policy <a href=""https://www.beehive.govt.nz/speech/first-steps"">aims to reverse</a> declines in New Zealand aid: ‘development assistance helps to maintain a safer and more prosperous New Zealand over time, saving money that would otherwise be required in future defence budgets or in border control’. New Zealand has <a href=""https://www.mfat.govt.nz/en/peace-rights-and-security/covid-19-response-and-recovery/#pacific"">retained its Pacific focus</a> in its international development response to Covid-19.</p>
<p>New Zealand ranks 20th in the Principled Aid Index in 2017. Its best ranking is in the public spiritedness dimension, where it comes 5th, an increase of 19 ranks since 2017. This is driven by improvements across all five indicators. New Zealand is now ranked first on minimising the relationship between aid spending and UN voting agreement, and second on spending aid in recipient countries.</p>
<p>New Zealand ranks 27th on the development gaps dimension. The country has always been in the bottom third of donors in this dimension due to its regional focus. However, this year its score has further declined, driven by a drop in spending on gender inequality.</p>
<p>New Zealand’s ranking on the global cooperation dimension has also fallen this year, from 13th in 2017 to 18th. This is driven by a large drop in spending on peace and security. Nonetheless, New Zealand continues to be highly ranked for spending on aid-for-trade, reflecting its priorities in this area.</p>"
Norway,none,none,"<p>In 2019, Norway’s Ministry of Foreign Affairs released a white paper, <em>Norway’s Role and Interests in Multilateral Cooperation</em>. The paper argues that global problems require global cooperation, and that ‘it is in Norway’s interest and in line with our values to save lives and improve other people’s living conditions’. Nevertheless, Norway is grappling with how <a href=""https://www.washingtonpost.com/news/monkey-cage/wp/2017/10/27/why-do-nations-invest-in-international-aid-ask-norway-and-china/?noredirect=on&utm_term=.f8b1aa9d5795"">to align its aid with its narrower national interests</a>. In particular, migration control and national security have taken <a href=""http://www.realityofaid.org/wp-content/uploads/2018/12/9-What-next-for-the-long-standing-champion-of-high-aid-levels.pdf"">more prominent roles</a> in its development policy. Parliament has repeatedly voted to protect the integrity of Norwegian ODA and to keep its purpose firmly centred on poverty reduction and development.</p>
<p>Norway has <a href=""https://norad.no/en/front/about-norad/news/2020/this-is-how-norwegian-development-aid-funds-are-spent-2019/#:~:text=Even%20though%20Norway%20and%20several,39.4%20billion%20%E2%80%93%20without%20any%20cuts."">committed to maintaining its ODA budget</a> (in absolute terms) despite downward economic projections resulting from Covid-19. The Norwegian Minister of Development has <a href=""https://norad.no/en/front/about-norad/news/2020/this-is-how-norwegian-development-aid-funds-are-spent-"">reiterated its commitment to multilateralism</a> in the face of the pandemic. This has been accompanied by large commitments to GAVI, among other contributions to the multilateral system.</p>
<p>Norway ranks 2nd on the Principled Aid Index. Its ranking has risen slowly but consistently, from 4th place in 2013. Norway was the top-ranked donor in the global cooperation dimension. Norway has been first or second on this dimension every year since 2013. Norway ranks particularly highly on the indicator for promoting peace and security.</p>
<p>Norway also scores well on the public spiritedness dimension, coming 7th overall. However, it scores poorly on minimising tied aid, due to a large quantity of informally tied aid.</p>
<p>On the development gaps dimension, Norway receives its worst ranking, coming 14th. Norway’s record on targeting gender inequality has particularly declined, dropping five places since 2013.</p>"
Poland,none,none,"<p>Poland’s <a href=""https://read.oecd-ilibrary.org/development/oecd-development-co-operation-peer-reviews-poland-2017_9789264268869-en#page20"">Development Cooperation Act</a> commits it to ‘support long-term social and economic development through actions to reduce poverty’. The country’s <a href=""https://www.polskapomoc.gov.pl/Mission,statement,204.html"">development cooperation is oriented</a> towards helping developing countries and supporting the 2030 Agenda for Sustainable Development; it is explicitly motivated by international solidarity. However, development cooperation is also increasingly seen as an ‘integral part’ of <a href=""https://read.oecd-ilibrary.org/development/oecd-development-co-operation-peer-reviews-poland-2017_9789264268869-en#page37"">Poland’s response to geopolitical challenges</a>, including engagement in Ukraine and the Middle East. Poland has not released an international development response to Covid-19.</p>
<p>Poland ranks 26th on the Principled Aid Index. It has never ranked above the bottom third of donors. It now ranks in the bottom five donors on all three dimensions. Poland has historically ranked higher in the development gaps dimension. However, its score in both supporting displaced populations and targeting aid towards those in extreme poverty has fallen over time (12 ranks and 13 ranks since 2013, respectively), leading to an overall decline in Poland’s performance on the development gaps dimension, coming 25th on this dimension.</p>
<p>In the public spiritedness dimension Poland ranks 28th. Poland has always been in the bottom three donors on this dimension. It scores badly on all indicators within this dimension, apart from for using aid to influence elections.</p>
<p>Poland comes 24th on the global cooperation dimension. Poland has spent more on climate change mitigation and adaption, coming 12th on this indicator, a rise of 10 ranks since 2017.</p>"
Portugal,none,none,"<p>Portugal’s <em><a href=""https://www.instituto-camoes.pt/images/cooperacao/conctestratg_eng_v2.pdf"">Strategic Compact 2014–2020</a></em> sets out the main operational and thematic guidelines for the country’s development cooperation. Development is seen as a pillar of Portugal’s foreign policy and economic diplomacy that can respond to both national and international challenges. Portugal invests along two fundamental priority lines: (1) governance and the rule of law; and (2) human development and global public goods. It has a strong emphasis on the Lusaphone area, including Portuguese-speaking African countries and Timor-Leste. Portugal’s most recent <a href=""https://read.oecd-ilibrary.org/development/oecd-development-co-operation-peer-reviews-portugal-2016_9789264248571-en#page35"">Development Assistance Committee peer review</a> suggested that the <em>Strategic Compact</em> signals a desire to embrace strategic partnerships based on ‘donor-partner shared responsibilities with mutual benefits’. Portugal has not released an update to its strategy in light of Covid-19.</p>
<p>Portugal ranks 21st on the Principled Aid Index. Its best rank is in the development gaps dimension, where it is 12th. It scores particularly well on targeting aid to those in extreme poverty, ranking 1st on this indicator every year for the last three years. Portugal has made significant progress on the development gaps dimension, rising 12 places since 2013. This was predominantly driven by an increase in assistance to conflict-affected states, especially Syria.</p>
<p>Portugal ranks significantly lower in the other two dimensions, coming 22nd in the global cooperation dimension and 23rd in the public spiritedness dimension. However, it scores well on minimising tied aid (part of the public spiritedness dimension), where it ranks 8th.</p>"
Slovak Republic,none,none,"<p>Slovak ODA is an instrument of the country’s foreign policy. Slovakia <a href=""https://www.slovakaid.sk/en/slovakaid"">views combating global poverty</a> as not only a moral commitment but also a tool for building a more stable, peaceful, prosperous and equitable world. <a href=""https://www.mzv.sk/web/en/foreign_policy/slovak_aid"">It argues that</a> ‘cooperation with the developing world indirectly helps Slovakia’. Its most recent international development strategy (<em><a href=""https://www.slovakaid.sk/en/publications"">Medium-Term Strategy for Development Cooperation for 2014–2018</a></em>) reflects the new requirements resulting from its accession to the Development Assistance Committee in 2013. Slovakia has not released an update to its international development strategy in light of Covid-19.</p>
<p>Slovakia is bottom of the Principled Aid Index, the first time it has ranked in last place. It places among the bottom donors on all dimensions, coming last in both the development gaps dimension and the public spiritedness dimension, and third from last in the global cooperation dimension. This marks a drop in the rankings in all three dimensions since 2017. Slovakia’s overall raw score has dropped by 4.5 points, a fall of 40% compared to 2017. The was the largest change in score of any donor since 2017. Slovakia’s performance declined on several indicators but saw a particularly large drop in targeting gender inequality.</p>"
Slovenia,none,none,"<p>Slovenia regards its <a href=""https://www.gov.si/assets/ministrstva/MZZ/Dokumenti/multilaterala/razvojno-sodelovanje/Development-Cooperation-and-Humanitarian-Aid-Strategy-of-the-Republic-of-Slovenia.pdf"">international development cooperation</a> as an important foreign policy tool in developing political and economic relations with both developing and developed countries. It aims to reduce poverty, ensure peace and security and promote sustainable development. The bulk of Slovenia’s development cooperation is <a href=""https://read.oecd-ilibrary.org/development/oecd-development-co-operation-peer-reviews-slovenia-2017_9789264279308-en#page18"">concentrated in middle-income countries</a>, particularly in the Western Balkans. Slovenia’s <a href=""https://www.gov.si/assets/ministrstva/MZZ/Dokumenti/multilaterala/razvojno-sodelovanje/Development-Cooperation-and-Humanitarian-Aid-Strategy-of-the-Republic-of-Slovenia.pdf"">international development policy</a> also focuses on sub-Saharan Africa, where it views ‘ensuring prosperity for the local population and the conditions for a decent life’ as necessary for ‘addressing the root causes of migration’. Slovenia has not published an update to its international development cooperation strategy in light of Covid-19.</p>
<p>Slovenia ranks 25th in the Principled Aid Index. Its overall ranking has stayed fairly consistent over time and it has never been outside of the bottom third of donors on any of the three dimensions. Its highest rank has consistently been in the public spiritedness dimension, where it ranks 21st. This is driven by high scores in the correlation between arms exports and aid disbursements; Slovenia does not export any arms and therefore ranks 1st in this dimension in every year (jointly with Iceland). Slovenia has also made significant progress in untying aid. Slovenia has climbed 21 ranks in this indicator since 2013, rising to 6th place.</p>
<p>Slovenia is 28th on both the development gaps and global cooperation dimensions, ranking in the bottom third of donors on all indicators within these dimensions, with the exception of spending on peace and security (part of the global cooperation dimension), where it ranks 14th. Even for this indicator, this represents a comparativedecline over time, as Slovenia has fallen from 3rd place in 2015.</p>"
Spain,none,none,"<p>Spain’s policy on international cooperation for development ‘expresses the solidarity of the Spanish people with developing countries’. It is set out in a <em><a href=""http://www.exteriores.gob.es/Portal/en/PoliticaExteriorCooperacion/CooperacionAlDesarrollo/Paginas/Planificaci%C3%B3n.aspx"">Master Plan for Spanish Cooperation 2018–2021</a></em>. Published in March 2018, the plan outlines <a href=""https://donortracker.org/country/spain"">seven sectoral priorities</a> of Spanish official development assistance, all of which are linked to the Sustainable Development Goals. Spain focuses on developing new models of partnership with middle-income countries, differentiating their cooperation with these countries from that with Least Developed Countries in sub-Saharan Africa.</p>
<p>In July 2020, Spain released its <a href=""http://www.exteriores.gob.es/Portal/es/SalaDePrensa/Multimedia/Publicaciones/Documents/Estrategia_de_respuesta.pdf"">Covid-19 cooperation strategy</a>. In the strategy, Spain continues to emphasise areas with the largest development gaps, focusing on supporting the most vulnerable populations, as well as those disproportionately affected by the virus.</p>
<p>Spain ranks 22nd on the Principled Aid Index, a drop of four places, due to declining performance on all three dimensions of the Index. Spain is now in the bottom half of donors in all dimensions. Spain’s best rank continues to be in the development gaps dimension, where it comes 17th. It ranks in the bottom half in most indicators in this dimension, but compensates for this with a high score on targeting gender inequality, where it is ranked 1st.</p>
<p>In the global cooperation dimension Spain is 20th, with low scores in all indicators except for core support for the multilateral system, where it ranks 12th (although it has fallen five places on this indicator since 2017).</p>
<p>Spain ranks 24th on public spiritedness, partially driven by a poor record on spending aid in recipient countries.</p>"
Sweden,none,none,"<p>Sweden’s 2016 <a href=""https://www.government.se/49a184/contentassets/43972c7f81c34d51a82e6a7502860895/skr-60-engelsk-version_web.pdf"">policy framework on development</a> states that the country’s international development cooperation aims to ‘create preconditions for better living conditions for people living in poverty and under oppression’. Sweden’s <a href=""https://www.government.se/4940d6/contentassets/2636cd52742a4a29827b936e118a5331/strategy-for-swedens-global-development-cooperation-in-sustainable-economic-development-2018-2022.pdf"">development policy</a> focuses on development gaps, based on the Sustainable Development Goals, with a strong focus on conflict and gender equality. Sweden was the first country to implement a <a href=""https://www.government.se/information-material/2018/03/swedish-foreign-service-action-plan-for-feminist-foreign-policy-20192022-including-indicative-measures-for-2019/"">feminist foreign policy</a>. It also focuses on <a href=""https://www.government.se/articles/2017/05/new-policy-framework-for-swedish-development-cooperation-and-humanitarian-aid/"">global public goods</a>, in particular environment and climate.</p>
<p>Despite the fall in GNI in 2020, the government has <a href=""https://donortracker.org/country/sweden"">not amended the overall budget</a> for ODA for 2020, and has reiterated the importance of ensuring that its Covid-19 response does not crowd out other essential development funding. However, Swedish aid is coming under increasing <a href=""https://donortracker.org/policy-updates/controversial-report-equality-commission-proposes-reductions-swedish-oda-favor"">pressure from those wishing to redirect funding</a> towards helping Sweden recover from the effects of the pandemic.</p>
<p>Sweden ranks 3rd on the Principled Aid Index. Its score is driven by strong performance on the global cooperation dimension, where Sweden is 3rd. Sweden has been in the top 10 donors in this dimension every year. Sweden scores well across this dimension, apart from for its funding of aid-for-trade initiatives. Sweden made a particular improvement in giving core support to the multilateral system, rising seven ranks on this indicator since 2017, to put it in first place.</p>
<p>Sweden also does well on the development gaps dimension, coming 5th. This is partially driven by Sweden consistently scoring well on targeting gender inequality, coming in the top three donors on this indicator every year, and 1st in 2018.</p>
<p>By contrast, Sweden’s rank in the public spiritedness dimension has fallen by five places this year, leaving it in 13th place. This is the first time Sweden has been outside the top 10 donors on this dimension. This is driven by a drop in performance across all five indicators in this dimension.</p>"
Switzerland,none,none,"<p>In 2016, the Swiss parliament adopted the <em><a href=""https://www.eda.admin.ch/dam/eda/en/documents/publications/EntwicklungszusammenarbeitundHumanitereHilfe/Botschaft-IZA-2017-2020_EN.pdf"">Dispatch on Switzerland’s International Cooperation</a></em>, the main strategy guiding Swiss aid activities for 2017–2020. The Dispatch promotes international development ‘in the interests of Switzerland’. The strategy sits alongside the Swiss <a href=""https://www.eda.admin.ch/dam/eda/en/documents/publications/SchweizerischeAussenpolitik/Aussenpolitische-Strategie_EN.pdf"">foreign policy statement for 2016–2019</a>, which seeks to contribute development resources towards the Sustainable Development Goals. Following the release of the <em>Dispatch</em>, the government launched a large-scale austerity programme that disproportionately <a href=""http://www.realityofaid.org/wp-content/uploads/2018/12/5-Decreasing-ODA-funds-increasingly-spent-on-migration-and-public-private-partnerships.pdf"">cut the development cooperation budget</a>. There was also considerable debate about making explicit the link between the provision of ODA and partner countries’ agreement to accept rejected asylum-seekers. While the measure was narrowly defeated in parliament, a softer variant that links development cooperation and migration policy did pass.</p>
<p>Switzerland’s <a href=""https://reliefweb.int/report/world/covid-19-switzerland-strengthens-international-cooperation"">response to Covid-19</a> has focused on getting assistance to developing countries as quickly as possible, as well as supporting international responses.</p>
<p>Switzerland ranks 6th on the Principled Aid Index. Its highest position is consistently in the public spiritedness dimension, where it is 3rd. It has never ranked outside the top 10 donors on this dimension. This is driven by strong scores on all indicators within this dimension.</p>
<p>Switzerland ranks 12th on the global cooperation dimension. It scores particularly well on providing core funding for the multilateral system and spending on global peace and security. However, Switzerland’s spending on the latter has fallen relatively over time, and it has dropped from 1st place (2013) to 7th.</p>
<p>Finally, Switzerland ranks 13th on the development gaps dimension. It scores well on targeting spending on social safety nets towards the most severely financially challenged recipients. 
</p>"
